P051768|Battery Temperature Sensor Circuit High Algorithm Based Failures Event information;
P057F00|Battery State of Charge Performance  ;
P058C00|Battery Monitor Module Temperature Monitoring Performance  ;
P058D00|Battery Monitor Module Voltage Monitoring Performance  ;
P060400|Internal Control Module Random Access Memory (RAM) Error  ;
P060500|Internal Control Module Read Only Memory (ROM) Error  ;
P060600|Control module processor  ;
P060A00|Internal Control Module Monitoring Processor Performance  ;
P060B00|Internal Control Module A/D Processing Performance  ;
"P065800|Actuator Supply Voltage ""A"" Circuit Low  ;"
"P065816|Actuator Supply Voltage ""A"" Circuit Low General Electrical Failures Circuit voltage below threshold;"
"P065868|Actuator Supply Voltage ""A"" Circuit Low Algorithm Based Failures Event information;"
P0A0A00|High Voltage System Interlock Circuit  ;
P0A0C00|High Voltage System Interlock Circuit Low  ;
P0A0D00|High Voltage System Interlock Circuit High  ;
P0A1F00|Battery Energy Control Module  ;
P0A2900|Hybrid/EV Battery Power Off Circuit High  ;
P0A7D00|Hybrid/EV Battery Pack State of Charge Low  ;
P0A7E68|Hybrid/EV Battery Pack Over Temperature Algorithm Based Failures Event information;
P0A7E98|Hybrid/EV Battery Pack Over Temperature Component Failures Component or system over temperature;
P0A8000|Replace Hybrid/EV Battery Pack  ;
P0A8093|Replace Hybrid/EV Battery Pack Component Failures No operation;
"P0A9500|High Voltage Fuse ""A""  ;"
"P0A9D00|Hybrid/EV Battery Temperature Sensor ""A"" Circuit Low  ;"
"P0A9E00|Hybrid/EV Battery Temperature Sensor ""A"" Circuit High  ;"
"P0A9F00|Hybrid/EV Battery Temperature Sensor ""A"" Circuit Intermittent/Erratic  ;"
P0AA100|Hybrid/EV Battery Positive Contactor Circuit Stuck Closed  ;
P0AA200|Hybrid/EV Battery Positive Contactor Circuit Stuck Open  ;
P0AA400|Hybrid/EV Battery Negative Contactor Circuit Stuck Closed  ;
P0AA500|Hybrid/EV Battery Negative Contactor Circuit Stuck Open  ;
P0AA700|Hybrid/EV Battery Voltage Isolation Sensor Circuit  ;
P0AA800|Hybrid/EV Battery Voltage Isolation Sensor Circuit Range/Performance  ;
P0AAB00|Hybrid/EV Battery Voltage Isolation Sensor Circuit Intermittent/Erratic  ;
"P0ABF00|Hybrid/EV Battery Pack Current Sensor ""A"" Circuit  ;"
"P0AC700|Hybrid/EV Battery Temperature Sensor ""B"" Circuit Low  ;"
"P0AC800|Hybrid/EV Battery Temperature Sensor ""B"" Circuit High  ;"
