P193385|Fuel Level Signal Bus Signal / Message Failures Signal above allowable range;
P193386|Fuel Level Signal Bus Signal / Message Failures Signal invalid;
P193387|Fuel Level Signal Bus Signal / Message Failures Missing message;
C108F01|Supplementary Restrain System (SRS) Deployment  General electrical failure;
C200200|Odometer Tampered  ;
B15E786|Odometer Backup Data Bus Signal / Message Failures Signal invalid;
B15E787|Odometer Backup Data Bus Signal / Message Failures Missing message;
B176F01|Driver Information Screen Module(DIS) screen  General electrical failure;
B176F09|Driver Information Screen Module(DIS) screen  Component Failures;
B176F0A|Driver Information Screen Module(DIS) screen  General Electrical Failures;
U100200|Data Integrity fault in NVM  ;
U100601|Head Up Display – Mirror Motor  General electrical failure;
U100901|Head Up Display - Display Backlight  General electrical failure;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested  Algorithm Based Failures Event information;"
U103411|Head Up Display (HUD) LVDS General Electrical Failures Circuit short to ground;
U103412|Head Up Display (HUD) LVDS General Electrical Failures Circuit short to battery;
U103413|Head Up Display (HUD) LVDS General Electrical Failures Circuit open;
U109311|Driver Information Screen module (DIS) LVDS General Electrical Failures Circuit short to ground;
U109312|Driver Information Screen module (DIS) LVDS General Electrical Failures Circuit short to battery;
U109313|Driver Information Screen module (DIS) LVDS General Electrical Failures Circuit open;
U10938F|Driver Information Screen module (DIS) LVDS Bus Signal / Message Failures Erratic;
U10AB00|Incompatible IP Bus Signal Received From VGM  ;
U10B000|VGM Not Connected On Ethernet  ;
U122000|FlexRay Cluster startup error  ;
U122900|Common FlexRay electrical fault  ;
U130501|LIN Bus #10  General electrical failure;
U130586|LIN Bus #10 Bus Signal / Message Failures Signal invalid;
U133704|Head Up Display (HUD)  System Internal Failures;
U13371C|Head Up Display (HUD) General Electrical Failures Circuit voltage out of range;
U13374B|Head Up Display (HUD) System Internal Failures Over temperature;
U133783|Head Up Display (HUD) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U133787|Head Up Display (HUD) Bus Signal / Message Failures Missing message;
U133796|Head-up display HUD Component Failures Component internal failure;
U135204|Steering Wheel Switch Module (SWSM)  System Internal Failures;
U135282|Steering Wheel Switch Module (SWSM) Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
U135283|Steering Wheel Switch Module (SWSM) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U135287|Steering Wheel Switch Module (SWSM) Bus Signal / Message Failures Missing message;
U140048|Driver Information Module (DIM) System Internal Failures Supervision software failure;
U140094|Driver Information Module (DIM) Component Failures Unexpected operation;
U141A1C|Driver Information Screen Module (DIS) General Electrical Failures Circuit voltage out of range;
U141A82|Driver Information Screen Module (DIS) Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
U141A83|Driver Information Screen Module (DIS) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U141A87|Driver Information Screen Module (DIS) Bus Signal / Message Failures Missing message;
U141B04|Hands Off Detection (HOD)  System Internal Failures;
U141B82|Hands Off Detection (HOD) Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
U141B83|Hands Off Detection (HOD) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U141B87|Hands Off Detection (HOD) Bus Signal / Message Failures Missing message;
U144183|Active Safety Domain Master (ASDM) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U144201|Steering Wheel Touch Panel Left (SWTL)  General electrical failure;
U144202|Steering Wheel Touch Panel Left (SWTL)  General signal failure;
U144207|Steering Wheel Touch Panel Left (SWTL)  Mechanical Failures;
U144283|Steering Wheel Touch Panel Left (SWTL) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U1442A1|Steering Wheel Touch Panel Left (SWTL) General Electrical Failures System Voltage;
U144301|Steering Wheel Touch Panel Right (SWTR)  General electrical failure;
U144302|Steering Wheel Touch Panel Right (SWTR)  General signal failure;
U144307|Steering Wheel Touch Panel Right (SWTR)  Mechanical Failures;
U1443A1|Steering Wheel Touch Panel Right (SWTR) General Electrical Failures System Voltage;
U144983|Vehicle Dynamics Domain Master (VDDM) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U144987|Vehicle Dynamics Domain Master (VDDM) Bus Signal / Message Failures Missing message;
U144B83|Brake Booster Module (BBM)   Bus Signal / Message Failures Value of signal protection calculation incorrect;
U144C83|Central Electronic Module (CEM)  Bus Signal / Message Failures Value of signal protection calculation incorrect;
U144C87|Central Electronic Module (CEM)  Bus Signal / Message Failures Missing message;
U145283|Supplementary Restraint System (SRS)   Bus Signal / Message Failures Value of signal protection calculation incorrect;
U145287|Supplementary Restraint System (SRS) Bus Signal / Message Failures Missing message;
U1C2088|Infotainment CAN Bus Signal / Message Failures Bus off;
U210156|Control Module Configuration Incompatible System Programming Failures Invalid / incompatible configuration;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
