P060100|Internal Control Module Memory Checksum Error  ;
P062F42|Internal Control Module EEPROM Error System Internal Failures General memory failure;
P11C800|Non Volatile Memory Worn Out A   ;
P11C900|Non Volatile Memory Worn Out B   ;
P160342|EEPROM Malfunction System Internal Failures General memory failure;
C054600|VIN Not Programmed or Incompatible  ;
C105B27|Passive Safety CAN General Signal Failures Signal rate of change above threshold;
C105B88|Passive Safety CAN Bus Signal / Message Failures Bus off;
B11B223|Button 0 General Signal Failures Signal stuck low;
B164942|Internal Control Module (ROM) Error System Internal Failures General memory failure;
B177349|Gravity Sensor System Internal Failures Internal electronic failure;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested  Algorithm Based Failures Event information;"
U108100|Incompatible IP bus Signal Received From TCAM  ;
U109209|Digital Video Recorder (DVR) LVDS  Component Failures;
U109700|Ethernet Chip  ;
U10A609|SD Card  Component Failures;
U10A749|Application SW   System Internal Failures Internal electronic failure;
U10A811|PAS Ethernet Wire General Electrical Failures Circuit short to ground;
U10A813|PAS Ethernet Wire General Electrical Failures Circuit open;
U10A911|VGM Ethernet Wire General Electrical Failures Circuit short to ground;
U10A913|VGM Ethernet Wire General Electrical Failures Circuit open;
U10AF00|PAS Not Connected On Ethernet  ;
U10B000|VGM Not Connected On Ethernet  ;
U144547|Digital Video Recorder (DVR) System Internal Failures Watchdog / safety µC failure;
U144549|Digital Video Recorder (DVR) System Internal Failures Internal electronic failure;
U144591|Digital Video Recorder (DVR) Component Failures Parametric;
U210156|Control Module Configuration Incompatible System Programming Failures Invalid / incompatible configuration;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U230057|Central Configuration System Programming Failures Invalid / Incompatible Software Component;
U281343|External Flash System Internal Failures Special memory failure;
U2E0068|Ambient Temperature Too High Algorithm Based Failures Event information;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
