P000A00|Intake (A) Camshaft Position Slow Response Bank 1  ;
P000B00|Exhaust (B) Camshaft Position Slow Response Bank 1  ;
P001000|Intake (A) Camshaft Position Actuator Circuit/Open (Bank 1)  ;
P001300|Exhaust (B) Camshaft Position Actuator Circuit/Open (Bank 1)  ;
P001676|Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A Mechanical Failures Wrong mounting position;
P001678|Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A Mechanical Failures Alignment or adjustment incorrect;
P001776|Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor B Mechanical Failures Wrong mounting position;
P001778|Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor B Mechanical Failures Alignment or adjustment incorrect;
"P003000|HO2S Heater Control Circuit (Bank 1, Sensor 1)  ;"
"P003100|HO2S Heater Control Circuit Low (Bank 1, Sensor 1)  ;"
"P003200|HO2S Heater Control Circuit High (Bank 1, Sensor 1)  ;"
"P003300|Turbocharger/Supercharger Bypass Valve ""A"" Control Circuit/Open  ;"
"P003400|Turbocharger/Supercharger Bypass Valve ""A""Control Circuit Low  ;"
"P003500|Turbocharger/Supercharger Bypass Valve ""A"" Control Circuit High  ;"
"P003600|HO2S Heater Control Circuit (Bank 1, Sensor 2)  ;"
"P003700|HO2S Heater Control Circuit Low (Bank 1, Sensor 2)  ;"
"P003800|HO2S Heater Control Circuit High (Bank 1, Sensor 2)  ;"
"P003A21|Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit General Signal Failures Signal amplitude < minimum;"
"P003A22|Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit General Signal Failures Signal amplitude > maximum;"
"P003A72|Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit Mechanical Failures Actuator stuck open;"
"P003A73|Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit Mechanical Failures Actuator stuck closed;"
P003C00|A Camshaft Profile Control Performance /Stuck Off (Bank 1)  ;
"P004600|Turbocharger/Supercharger Boost Control ""A"" Circuit Range/Performance  ;"
"P004700|Turbocharger/Supercharger Boost Control ""A"" Circuit Low  ;"
"P004800|Turbocharger/Supercharger Boost Control ""A"" Circuit High  ;"
"P005300|HO2S Heater Resistance (Bank 1, Sensor 1)  ;"
"P005400|HO2S Heater Resistance (Bank 1, Sensor 2)  ;"
P005A00|B Camshaft Profile Control Performance / Stuck Off (Bank 1)  ;
"P007000|Ambient Air Temperature Sensor Circuit ""A""  ;"
"P007121|Ambient Air Temperature Sensor Circuit ""A"" Range/Performance General Signal Failures Signal amplitude < minimum;"
"P007122|Ambient Air Temperature Sensor Circuit ""A"" Range/Performance General Signal Failures Signal amplitude > maximum;"
"P007200|Ambient Air Temperature Sensor Circuit ""A"" Low  ;"
"P007300|Ambient Air Temperature Sensor Circuit ""A"" High  ;"
P008700|Fuel Rail/System Pressure - Too Low  ;
P008800|Fuel Rail/System Pressure - Too High  ;
P008984|Fuel Pressure Regulator Performance Bus Signal / Message Failures Signal below allowable range;
P008985|Fuel Pressure Regulator Performance Bus Signal / Message Failures Signal above allowable range;
P008A00|Low Pressure Fuel System Pressure - Too Low  ;
P008B00|Low Pressure Fuel System Pressure - Too High  ;
P009000|Fuel Pressure Regulator 1 Control Circuit/Open  ;
P009100|Fuel Pressure Regulator 1 Control Circuit Low  ;
P009121|Fuel Pressure Regulator 1 Control Circuit Low General Signal Failures Signal amplitude < minimum;
P009200|Fuel Pressure Regulator 1 Control Circuit High  ;
P009600|Intake Air Temperature Sensor 2 Circuit Range/Performance (Bank 1)  ;
P009621|Intake Air Temperature Sensor 2 Circuit Range/Performance (Bank 1) General Signal Failures Signal amplitude < minimum;
P009622|Intake Air Temperature Sensor 2 Circuit Range/Performance (Bank 1) General Signal Failures Signal amplitude > maximum;
P009700|Intake Air Temperature Sensor 2 Circuit Low (Bank 1)  ;
P009800|Intake Air Temperature Sensor 2 Circuit High (Bank 1)  ;
P009900|Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic (Bank 1)  ;
P00CE23|Intake Air Temperature Measurement System - Multiple Sensor Correlation General Signal Failures Signal stuck low;
P00CE24|Intake Air Temperature Measurement System - Multiple Sensor Correlation General Signal Failures Signal stuck high;
"P00CF00|Barometric Pressure - Turbocharger/Supercharger Boost Sensor ""A"" Correlation  ;"
P00E921|Intake Air Temperature Sensor 3 Circuit Range/Performance Bank 1 General Signal Failures Signal amplitude < minimum;
P00E922|Intake Air Temperature Sensor 3 Circuit Range/Performance Bank 1 General Signal Failures Signal amplitude > maximum;
P00E92A|Intake Air Temperature Sensor 3 Circuit Range/Performance Bank 1 General Signal Failures Signal Stuck In Range;
P00EA00|Intake Air Temperature Sensor 3 Circuit Low Bank 1  ;
P00EA85|Intake Air Temperature Sensor 3 Circuit Low Bank 1 Bus Signal / Message Failures Signal above allowable range;
P00EB00|Intake Air Temperature Sensor 3 Circuit High Bank 1  ;
P00EB84|Intake Air Temperature Sensor 3 Circuit High Bank 1 Bus Signal / Message Failures Signal below allowable range;
P00EC1C|Intake Air Temperature Sensor 3 Circuit Intermittent/Erratic Bank 1 General Electrical Failures Circuit voltage out of range;
P00EC31|Intake Air Temperature Sensor 3 Circuit Intermittent/Erratic Bank 1 FM (Frequency Modulated) / PWM (Pulse Width Modulated) Failures No signal;
P00EC86|Intake Air Temperature Sensor 3 Circuit Intermittent/Erratic Bank 1 Bus Signal / Message Failures Signal invalid;
P00EC96|Intake Air Temperature Sensor 3 Circuit Intermittent/Erratic Bank 1 Component Failures Component internal failure;
P00FE00|EVAP System Tank Vapor Line Restricted/Blocked  ;
"P010000|Mass or Volume Air Flow Sensor ""A"" Circuit  ;"
"P010096|Mass or Volume Air Flow Sensor ""A"" Circuit Component Failures Component internal failure;"
"P0100A1|Mass or Volume Air Flow Sensor ""A"" Circuit General Electrical Failures System Voltage;"
"P010100|Mass or Volume Air Flow Sensor ""A"" Circuit Range/Performance  ;"
"P010109|Mass or Volume Air Flow Sensor ""A"" Circuit Range/Performance  Component Failures;"
"P010149|Mass or Volume Air Flow Sensor ""A"" Circuit Range/Performance System Internal Failures Internal electronic failure;"
"P010200|Mass or Volume Air Flow Sensor ""A"" Circuit Low  ;"
P01021C|Mass or Volume Air  General Electrical Failures Circuit voltage out of range;
"P010300|Mass or Volume Air Flow Sensor ""A"" Circuit High  ;"
P01031C|Mass or Volume Air F General Electrical Failures Circuit voltage out of range;
P010600|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance  ;
P010602|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance  General signal failure;
P010621|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance General Signal Failures Signal amplitude < minimum;
P010622|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Range/Performance General Signal Failures Signal amplitude > maximum;
P010700|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit Low  ;
P010800|Manifold Absolute Pressure/Barometric Pressure Sensor Circuit High  ;
P011126|Intake Air Temperature Sensor 1 Circuit Range/Performance (Bank 1) General Signal Failures Signal rate of change below threshold;
P011200|Intake Air Temperature Sensor 1 Circuit Low (Bank 1)  ;
P011300|Intake Air Temperature Sensor 1 Circuit High (Bank 1)  ;
P011400|Intake Air Temperature Sensor 1 Intermittent/Erratic (Bank 1)  ;
P011621|Engine Coolant Temperature Sensor 1 Circuit Range/Performance General Signal Failures Signal amplitude < minimum;
P011622|Engine Coolant Temperature Sensor 1 Circuit Range/Performance General Signal Failures Signal amplitude > maximum;
P011623|Engine Coolant Temperature Sensor 1 Circuit Range/Performance General Signal Failures Signal stuck low;
P01162A|Engine Coolant Temperature Sensor 1 Circuit Range/Performance General Signal Failures Signal Stuck In Range;
P011700|Engine Coolant Temperature Sensor 1 Circuit Low  ;
P011800|Engine Coolant Temperature Sensor 1 Circuit High  ;
P011900|Engine Coolant Temperature Sensor 1 Circuit Intermittent/Erratic  ;
"P012164|Throttle/Pedal Position Sensor ""A"" Circuit Range/Performance Algorithm Based Failures Signal plausibility failure;"
"P012200|Throttle/Pedal Position Sensor ""A"" Circuit Low  ;"
"P012300|Throttle/Pedal Position Sensor ""A"" Circuit High  ;"
P012800|Coolant Thermostat (Coolant Temp Below Thermostat Regulating Temperature)  ;
P012807|Coolant Thermostat (Coolant Temp Below Thermostat Regulating Temperature)  Mechanical Failures;
P013000|O2 Sensor Circuit (Bank 1 Sensor 1)  ;
P013100|O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)  ;
