P056011|System Voltage General Electrical Failures Circuit short to ground;
P056016|System Voltage General Electrical Failures Circuit voltage below threshold;
P056017|System Voltage General Electrical Failures Circuit voltage above threshold;
P05604B|System Voltage System Internal Failures Over temperature;
P056098|System Voltage Component Failures Component or system over temperature;
P0560A2|System Voltage General Electrical Failures System Voltage Low;
P0560A3|System Voltage General Electrical Failures System Voltage High;
P160847|Watchdog Malfunction System Internal Failures Watchdog / safety µC failure;
C106046|Internal Control Module - Incompatible Software System Internal Failures Calibration / parameter memory failure;
B123816|Speaker Amplifier General Electrical Failures Circuit voltage below threshold;
B123817|Speaker Amplifier General Electrical Failures Circuit voltage above threshold;
B123819|Speaker Amplifier General Electrical Failures Circuit current above threshold;
B123825|Speaker Amplifier General Signal Failures Signal shape / waveform failure;
B12384B|Speaker Amplifier System Internal Failures Over temperature;
B123887|Speaker Amplifier Bus Signal / Message Failures Missing message;
B163A44|Memory error System Internal Failures Data memory failure;
B1A0196|Speaker #1 Component Failures Component internal failure;
U006455|Propulsion CAN System Programming Failures Not configured;
U006488|Vehicle Communication Bus E Bus Signal / Message Failures Bus off;
U100245|Data Integrity Fault in Non Volatile Memory System Internal Failures Program memory failure;
U112487|Interrupted Communication with Vehicle Dynamics Domain Master (VDDM) Bus Signal / Message Failures Missing message;
U112687|Interrupted Communication with Engine Control Module (ECM) Bus Signal / Message Failures Missing message;
U210A98|Temperature sensor Component Failures Component or system over temperature;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
