P062F45|Internal Control Module EEPROM Error System Internal Failures Program memory failure;
C105504|Program execution faults  System Internal Failures;
C105547|Program execution faults System Internal Failures Watchdog / safety µC failure;
C105549|Program execution faults System Internal Failures Internal electronic failure;
C105594|Program execution faults Component Failures Unexpected operation;
C105F04|Radar Sensor  System Internal Failures;
C105F09|Radar Sensor  Component Failures;
C105F44|Radar Sensor System Internal Failures Data memory failure;
C105F47|Radar Sensor System Internal Failures Watchdog / safety µC failure;
C105F49|Radar Sensor System Internal Failures Internal electronic failure;
C105F4A|Radar Sensor System Internal Failures Incorrect component installed;
C105F4B|Radar Sensor System Internal Failures Over temperature;
C105F56|Radar Sensor System Programming Failures Invalid / incompatible configuration;
C105F57|Radar Sensor System Programming Failures Invalid / Incompatible Software Component;
C105F67|Radar Sensor Algorithm Based Failures Signal incorrect after event;
C105F86|Radar Sensor Bus Signal / Message Failures Signal invalid;
C105F91|Radar Sensor Component Failures Parametric;
C105F93|Radar Sensor Component Failures No operation;
C105F94|Radar Sensor Component Failures Unexpected operation;
C105F96|Radar Sensor Component Failures Component internal failure;
C105F97|Radar Sensor Component Failures Component or system operation obstructed or blocked;
C105F9A|Radar Sensor Component Failures Component or System Operating Conditions;
C1A6754|Forward Looking Sensor System Programming Failures Missing calibration;
C1A6755|Forward Looking Sensor System Programming Failures Not configured;
B162F1C|MV Supply voltage sensor General Electrical Failures Circuit voltage out of range;
B163A97|Memory error Component Failures Component or system operation obstructed or blocked;
B164C04|System Internal HW Failure  System Internal Failures;
U100246|Data Integrity fault in NVM System Internal Failures Calibration / parameter memory failure;
U103C95|Sensor Determination Not Locked Component Failures Incorrect assembly;
U109E86|Radar - Vehicle Static Data Bus Signal / Message Failures Signal invalid;
U144183|Active Safety Domain Master (ASDM) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U144186|Active Safety Domain Master (ASDM) Bus Signal / Message Failures Signal invalid;
U1C7788|CAN FD #1 Bus Signal / Message Failures Bus off;
U202949|Interrrupted Internal Communication System Internal Failures Internal electronic failure;
U210156|Control Module Configuration Incompatible System Programming Failures Invalid / incompatible configuration;
U210A9A|Temperature Sensor Component Failures Component or System Operating Conditions;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U2E0E98|Control Module Internal Temperature Too High Component Failures Component or system over temperature;
U2E6002|Missing Signals  General signal failure;
U300047|Control Module System Internal Failures Watchdog / safety µC failure;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
