C105547|Program execution faults System Internal Failures Watchdog / safety µC failure;
B10E714|Ignition On Relay General Electrical Failures Circuit short to ground or open;
B154C66|High Side Driver 1 Fuse Strategy Algorithm Based Failures Signal has too many transitions / events;
B154C68|High Side Driver 1 Fuse Strategy Algorithm Based Failures Event information;
B155066|High Side Driver 2 Fuse Strategy Algorithm Based Failures Signal has too many transitions / events;
B155068|High Side Driver 2 Fuse Strategy Algorithm Based Failures Event information;
B157011|HeadlampThermal Resistor #1 General Electrical Failures Circuit short to ground;
B157012|HeadlampThermal Resistor #1 General Electrical Failures Circuit short to battery;
B157013|HeadlampThermal Resistor #1 General Electrical Failures Circuit open;
B157911|HeadlampThermal Resistor #2 General Electrical Failures Circuit short to ground;
B157912|HeadlampThermal Resistor #2 General Electrical Failures Circuit short to battery;
B157913|HeadlampThermal Resistor #2 General Electrical Failures Circuit open;
B157A11|HeadlampThermal Resistor #3 General Electrical Failures Circuit short to ground;
B157A12|HeadlampThermal Resistor #3 General Electrical Failures Circuit short to battery;
B157A13|HeadlampThermal Resistor #3 General Electrical Failures Circuit open;
B157E11|HeadlampThermal Resistor #4 General Electrical Failures Circuit short to ground;
B157E12|HeadlampThermal Resistor #4 General Electrical Failures Circuit short to battery;
B157E13|HeadlampThermal Resistor #4 General Electrical Failures Circuit open;
B159011|HeadlampThermal Resistor #5 General Electrical Failures Circuit short to ground;
B159012|HeadlampThermal Resistor #5 General Electrical Failures Circuit short to battery;
B159013|HeadlampThermal Resistor #5 General Electrical Failures Circuit open;
B15A214|Exterior Light Relay General Electrical Failures Circuit short to ground or open;
B15A301|Headlamp Swivelling Feedback Sensor  General electrical failure;
B15A323|Headlamp Swivelling Feedback Sensor General Signal Failures Signal stuck low;
B15A324|Headlamp Swivelling Feedback Sensor General Signal Failures Signal stuck high;
B15A401|Headlamp Control Module Left/Right Detection  General electrical failure;
B15A771|Headlamp Control Module Fan Diag Spin Speed Error (Stall) Mechanical Failures Actuator stuck;
B15A801|Headlamp Control Module Stepper Motor Swiveling  General electrical failure;
B15A813|Headlamp Control Module Stepper Motor Swiveling General Electrical Failures Circuit open;
B15A863|Headlamp Control Module Stepper Motor Swiveling Algorithm Based Failures Circuit / component protection time-out;
B15A901|Headlamp Control Module Stepper Motor Leveling  General electrical failure;
B15A913|Headlamp Control Module Stepper Motor Leveling General Electrical Failures Circuit open;
B15A963|Headlamp Control Module Stepper Motor Leveling Algorithm Based Failures Circuit / component protection time-out;
B15AA11|Headlamp Control Module LED Channel 1 General Electrical Failures Circuit short to ground;
B15AA12|Headlamp Control Module LED Channel 1 General Electrical Failures Circuit short to battery;
B15AA13|Headlamp Control Module LED Channel 1 General Electrical Failures Circuit open;
B15AB11|Headlamp Control Module LED Channel 2 General Electrical Failures Circuit short to ground;
B15AB12|Headlamp Control Module LED Channel 2 General Electrical Failures Circuit short to battery;
B15AB13|Headlamp Control Module LED Channel 2 General Electrical Failures Circuit open;
B15AC11|Headlamp Control Module LED Channel 3 General Electrical Failures Circuit short to ground;
B15AC12|Headlamp Control Module LED Channel 3 General Electrical Failures Circuit short to battery;
B15AC13|Headlamp Control Module LED Channel 3 General Electrical Failures Circuit open;
B15AD11|Headlamp Control Module LED Channel 4 General Electrical Failures Circuit short to ground;
B15AD12|Headlamp Control Module LED Channel 4 General Electrical Failures Circuit short to battery;
B15AD13|Headlamp Control Module LED Channel 4 General Electrical Failures Circuit open;
B15AE11|Headlamp Control Module LED Channel 5 General Electrical Failures Circuit short to ground;
B15AE12|Headlamp Control Module LED Channel 5 General Electrical Failures Circuit short to battery;
B15AE13|Headlamp Control Module LED Channel 5 General Electrical Failures Circuit open;
B15AF11|Headlamp Control Module LED Channel 6 General Electrical Failures Circuit short to ground;
B15AF12|Headlamp Control Module LED Channel 6 General Electrical Failures Circuit short to battery;
B15AF13|Headlamp Control Module LED Channel 6 General Electrical Failures Circuit open;
B15B011|Headlamp Control Module LED Channel 7 General Electrical Failures Circuit short to ground;
