P060100|Internal Control Module Memory Checksum Error  ;
B169388|Internal CAN Bus Signal / Message Failures Bus off;
B16C715|Rear Door Ambient Light Rear Left (RDRL) General Electrical Failures Circuit short to battery or open;
B16CE15|Rear Door Ambient Light Rear Right (RDRR) General Electrical Failures Circuit short to battery or open;
B16E215|Front Door Ambient Light Front Left (FDFL) General Electrical Failures Circuit short to battery or open;
B16E515|Instrument Panel Multicolor Illumination Diver Side Left (IPDL) General Electrical Failures Circuit short to battery or open;
B16E615|Instrument Panel Multicolor Illumination Passenger Side Left (IPPL) General Electrical Failures Circuit short to battery or open;
B16E715|Instrument Panel Multicolor Illumination Passenger Side Right (IPPR) General Electrical Failures Circuit short to battery or open;
B16EC15|Front Door Ambient light Front Right (FDFR) General Electrical Failures Circuit short to battery or open;
"B1D131C|Interior Lights Circuit ""A"" General Electrical Failures Circuit voltage out of range;"
U10B988|Internal CAN 2 Bus Signal / Message Failures Bus off;
U130087|LIN Bus #1 Bus Signal / Message Failures Missing message;
U130187|LIN Bus #2 Bus Signal / Message Failures Missing message;
U142215|Ambient Lights Control 1 (ALM1) General Electrical Failures Circuit short to battery or open;
U142315|Ambient Lights Control 2 (ALM2) General Electrical Failures Circuit short to battery or open;
U1C6088|CAN Bus #5 Bus Signal / Message Failures Bus off;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
