C006168|Lateral Acceleration Sensor Algorithm Based Failures Event information;
C006268|Longitudinal Acceleration Sensor Algorithm Based Failures Event information;
C006368|Yaw Rate Sensor Algorithm Based Failures Event information;
C006468|Roll Rate Sensor Algorithm Based Failures Event information;
C006568|Vertical Acceleration Sensor Algorithm Based Failures Event information;
C006A28|Multi-axis Acceleration Sensor General Signal Failures Signal bias level out of range / zero adjustment failure;
C006A54|Multi-axis Acceleration Sensor System Programming Failures Missing calibration;
C105B88|Passive Safety CAN Bus Signal / Message Failures Bus off;
C108211|Right Hood Hinge Rear Deployment Control General Electrical Failures Circuit short to ground;
C108212|Right Hood Hinge Rear Deployment Control General Electrical Failures Circuit short to battery;
C10821A|Right Hood Hinge Rear Deployment Control General Electrical Failures Circuit resistance below threshold;
C10821B|Right Hood Hinge Rear Deployment Control General Electrical Failures Circuit resistance above threshold;
C108264|Right Hood Hinge Rear Deployment Control Algorithm Based Failures Signal plausibility failure;
C108295|Right Hood Hinge Rear Deployment Control Component Failures Incorrect assembly;
C108411|Left Hood Hinge Rear Deployment Control General Electrical Failures Circuit short to ground;
C108412|Left Hood Hinge Rear Deployment Control General Electrical Failures Circuit short to battery;
C10841A|Left Hood Hinge Rear Deployment Control General Electrical Failures Circuit resistance below threshold;
C10841B|Left Hood Hinge Rear Deployment Control General Electrical Failures Circuit resistance above threshold;
C108464|Left Hood Hinge Rear Deployment Control Algorithm Based Failures Signal plausibility failure;
C108495|Left Hood Hinge Rear Deployment Control Component Failures Incorrect assembly;
C108F68|Supplementary Restrain System (SRS) Deployment Algorithm Based Failures Event information;
C10B668|Pitch Rate Sensor Algorithm Based Failures Event information;
C10B911|Front Inboard Left Side Airbag Deployment Control General Electrical Failures Circuit short to ground;
C10B912|Front Inboard Left Side Airbag Deployment Control General Electrical Failures Circuit short to battery;
C10B91A|Front Inboard Left Side Airbag Deployment Control General Electrical Failures Circuit resistance below threshold;
C10B91B|Front Inboard Left Side Airbag Deployment Control General Electrical Failures Circuit resistance above threshold;
C10B964|Front Inboard Left Side Airbag Deployment Control Algorithm Based Failures Signal plausibility failure;
C10B995|Front Inboard Left Side Airbag Deployment Control Component Failures Incorrect assembly;
C10BA11|Front Inboard Right Side Airbag Deployment Control General Electrical Failures Circuit short to ground;
C10BA12|Front Inboard Right Side Airbag Deployment Control General Electrical Failures Circuit short to battery;
C10BA1A|Front Inboard Right Side Airbag Deployment Control General Electrical Failures Circuit resistance below threshold;
C10BA1B|Front Inboard Right Side Airbag Deployment Control General Electrical Failures Circuit resistance above threshold;
C10BA64|Front Inboard Right Side Airbag Deployment Control Algorithm Based Failures Signal plausibility failure;
C10BA95|Front Inboard Right Side Airbag Deployment Control Component Failures Incorrect assembly;
C10C911|Driver Seat Track Height Position Restraints Sensor General Electrical Failures Circuit short to ground;
C10C912|Driver Seat Track Height Position Restraints Sensor General Electrical Failures Circuit short to battery;
C10C913|Driver Seat Track Height Position Restraints Sensor General Electrical Failures Circuit open;
C10C91D|Driver Seat Track Height Position Restraints Sensor General Electrical Failures Circuit current out of range;
C10C964|Driver Seat Track Height Position Restraints Sensor Algorithm Based Failures Signal plausibility failure;
C10C995|Driver Seat Track Height Position Restraints Sensor Component Failures Incorrect assembly;
C10CA11|Passenger Seat Track Height Position Restraints Sensor General Electrical Failures Circuit short to ground;
C10CA12|Passenger Seat Track Height Position Restraints Sensor General Electrical Failures Circuit short to battery;
C10CA13|Passenger Seat Track Height Position Restraints Sensor General Electrical Failures Circuit open;
C10CA1D|Passenger Seat Track Height Position Restraints Sensor General Electrical Failures Circuit current out of range;
C10CA64|Passenger Seat Track Height Position Restraints Sensor Algorithm Based Failures Signal plausibility failure;
C10CA95|Passenger Seat Track Height Position Restraints Sensor Component Failures Incorrect assembly;
C1A9929|Pressure Sensor General Signal Failures Signal signal invalid;
B000111|Driver Frontal Stage 1 Deployment Control  General Electrical Failures Circuit short to ground;
B000112|Driver Frontal Stage 1 Deployment Control General Electrical Failures Circuit short to battery;
B00011A|Driver Frontal Stage 1 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00011B|Driver Frontal Stage 1 Deployment Control General Electrical Failures Circuit resistance above threshold;
B000164|Driver Frontal Stage 1 Deployment Control Algorithm Based Failures Signal plausibility failure;
B000195|Driver Frontal Stage 1 Deployment Control Component Failures Incorrect assembly;
B000211|Driver Frontal Stage 2 Deployment Control General Electrical Failures Circuit short to ground;
B000212|Driver Frontal Stage 2 Deployment Control General Electrical Failures Circuit short to battery;
B00021A|Driver Frontal Stage 2 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00021B|Driver Frontal Stage 2 Deployment Control General Electrical Failures Circuit resistance above threshold;
B000264|Driver Frontal Stage 2 Deployment Control Algorithm Based Failures Signal plausibility failure;
B000295|Driver Frontal Stage 2 Deployment Control Component Failures Incorrect assembly;
B000311|Driver Frontal Stage 3 Deployment Control General Electrical Failures Circuit short to ground;
B000312|Driver Frontal Stage 3 Deployment Control General Electrical Failures Circuit short to battery;
B00031A|Driver Frontal Stage 3 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00031B|Driver Frontal Stage 3 Deployment Control General Electrical Failures Circuit resistance above threshold;
B000364|Driver Frontal Stage 3 Deployment Control Algorithm Based Failures Signal plausibility failure;
B000395|Driver Frontal Stage 3 Deployment Control Component Failures Incorrect assembly;
B000411|Driver Knee Bolster Stage 1 Deployment Control General Electrical Failures Circuit short to ground;
B000412|Driver Knee Bolster Stage 1 Deployment Control General Electrical Failures Circuit short to battery;
B00041A|Driver Knee Bolster Stage 1 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00041B|Driver Knee Bolster Stage 1 Deployment Control General Electrical Failures Circuit resistance above threshold;
B000464|Driver Knee Bolster Stage 1 Deployment Control Algorithm Based Failures Signal plausibility failure;
B000495|Driver Knee Bolster Stage 1 Deployment Control Component Failures Incorrect assembly;
B001011|Passenger Frontal Stage 1 Deployment Control General Electrical Failures Circuit short to ground;
B001012|Passenger Frontal Stage 1 Deployment Control General Electrical Failures Circuit short to battery;
B00101A|Passenger Frontal Stage 1 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00101B|Passenger Frontal Stage 1 Deployment Control General Electrical Failures Circuit resistance above threshold;
B001064|Passenger Frontal Stage 1 Deployment Control Algorithm Based Failures Signal plausibility failure;
B001095|Passenger Frontal Stage 1 Deployment Control Component Failures Incorrect assembly;
B001111|Passenger Frontal Stage 2 Deployment Control General Electrical Failures Circuit short to ground;
B001112|Passenger Frontal Stage 2 Deployment Control General Electrical Failures Circuit short to battery;
B00111A|Passenger Frontal Stage 2 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00111B|Passenger Frontal Stage 2 Deployment Control General Electrical Failures Circuit resistance above threshold;
B001164|Passenger Frontal Stage 2 Deployment Control Algorithm Based Failures Signal plausibility failure;
B001195|Passenger Frontal Stage 2 Deployment Control Component Failures Incorrect assembly;
B001211|Passenger Frontal Stage 3 Deployment Control General Electrical Failures Circuit short to ground;
B001212|Passenger Frontal Stage 3 Deployment Control General Electrical Failures Circuit short to battery;
B00121A|Passenger Frontal Stage 3 Deployment Control General Electrical Failures Circuit resistance below threshold;
B00121B|Passenger Frontal Stage 3 Deployment Control General Electrical Failures Circuit resistance above threshold;
B001264|Passenger Frontal Stage 3 Deployment Control Algorithm Based Failures Signal plausibility failure;
B001295|Passenger Frontal Stage 3 Deployment Control Component Failures Incorrect assembly;
B001311|Passenger Knee Bolster Deployment Control General Electrical Failures Circuit short to ground;
B001312|Passenger Knee Bolster Deployment Control General Electrical Failures Circuit short to battery;
B00131A|Passenger Knee Bolster Deployment Control General Electrical Failures Circuit resistance below threshold;
B00131B|Passenger Knee Bolster Deployment Control General Electrical Failures Circuit resistance above threshold;
